id,component,quantity,native_value,native_unit,si_value,si_unit,uncertainty_si,source_id,source_locator,status,model_use,notes
m.surface.base.north,pyramid,base_side_length,8471.9,in,215.18625999999998,m,,src.petrie1883,"ch. VIII §66, p.97",MEASURED,direct,Adopted square from 12 fixed points; mean side is canonical rev.0003 exterior envelope.
m.surface.base.east,pyramid,base_side_length,8475.2,in,215.27008,m,,src.petrie1883,"ch. VIII §66, p.97",MEASURED,direct,Adopted square from 12 fixed points; mean side is canonical rev.0003 exterior envelope.
m.surface.base.south,pyramid,base_side_length,8476.9,in,215.31325999999999,m,,src.petrie1883,"ch. VIII §66, p.97",MEASURED,direct,Adopted square from 12 fixed points; mean side is canonical rev.0003 exterior envelope.
m.surface.base.west,pyramid,base_side_length,8475.5,in,215.27769999999998,m,,src.petrie1883,"ch. VIII §66, p.97",MEASURED,direct,Adopted square from 12 fixed points; mean side is canonical rev.0003 exterior envelope.
m.surface.base.mean,pyramid,base_side_length,8474.9,in,215.26245999999998,m,,src.petrie1883,"ch. VIII §66, p.97",DERIVED_MEAN,derived,Adopted square from 12 fixed points; mean side is canonical rev.0003 exterior envelope.
m.surface.azimuth.north,pyramid,north_side_azimuth,-5.516666666666667,arcmin,-0.09194444444444444,deg,,src.petrie1883,"ch. VIII §66, p.97",MEASURED,metadata,Negative = west of true north/equivalent side axis per Petrie convention.
m.surface.azimuth.east,pyramid,east_side_azimuth,-6.216666666666667,arcmin,-0.10361111111111111,deg,,src.petrie1883,"ch. VIII §66, p.97",MEASURED,metadata,Negative = west of true north/equivalent side axis per Petrie convention.
m.surface.azimuth.south,pyramid,south_side_azimuth,-5.666666666666667,arcmin,-0.09444444444444446,deg,,src.petrie1883,"ch. VIII §66, p.97",MEASURED,metadata,Negative = west of true north/equivalent side axis per Petrie convention.
m.surface.azimuth.west,pyramid,west_side_azimuth,-4.35,arcmin,-0.0725,deg,,src.petrie1883,"ch. VIII §66, p.97",MEASURED,metadata,Negative = west of true north/equivalent side axis per Petrie convention.
m.surface.azimuth.mean,pyramid,casing_mean_azimuth,-5′26″,arcmin_arcsec,-0.09055555555555556,deg,0.0044444444444444444,src.petrie1883,"ch. XIII §93, p.125",MEASURED,metadata,Petrie casing mean.
m.surface.slope,pyramid,casing_face_slope,53°10′,deg_arcmin,53.166666666666664,deg,0.06666666666666667,src.petrie1883,"ch. VIII §67, p.98",MEASURED,direct,Petrie best statement combining in-situ and fallen casing measures.
m.surface.height.petrie,pyramid,original_height,5664,in,143.8656,m,0.3302,src.petrie1883,"ch. VIII §67, p.98",DERIVED_FROM_MEASUREMENT,direct,Derived by Petrie from base/slope.
m.surface.height.ministry,pyramid,original_height,143.5,m,143.5,m,,src.egypt_ministry,Khafre monument page,PUBLISHED_SUMMARY,comparison,Official Egyptian Ministry value; retained as a conflicting/reference estimate rather than averaged into Petrie.
m.surface.height.current.scidep,pyramid,current_height,136.4,m,136.4,m,,src.scidep2025,"JAP 138 044901, Introduction",PUBLISHED_SUMMARY,comparison,"Modern current-height value used as context only, not to morph the original envelope."
m.surface.base.scidep,pyramid,base_length,215.3,m,215.3,m,,src.scidep2025,"JAP 138 044901, Introduction",PUBLISHED_SUMMARY,comparison,Modern rounded base value.
m.casing.low.course_height,casing,lowest_granite_casing_sloped_vertical_height,41.52,in,1.054608,m,0.00127,src.petrie1883,"ch. VIII §68, p.98",MEASURED,direct,Measured at SW surviving casing.
m.casing.low.vertical_foot,casing,lowest_granite_casing_vertical_foot,11.0,in,0.2794,m,,src.petrie1883,"ch. VIII §68, p.98",MEASURED,direct,Vertical face beneath slope at SW.
m.terrace.west.nw,terrace,west_cut_edge_offset_from_NW,1105,in,28.067,m,,src.petrie1883,"ch. VIII §70, p.99",MEASURED,metadata,Cut shelf top edge; not assumed constant around site.
m.terrace.west.sw,terrace,west_cut_edge_offset_from_SW,1083,in,27.5082,m,,src.petrie1883,"ch. VIII §70, p.99",MEASURED,metadata,Cut shelf top edge.
m.terrace.north.nw,terrace,north_cut_edge_offset_from_NW,2255,in,57.277,m,,src.petrie1883,"ch. VIII §70, p.99",MEASURED,metadata,Cut shelf top edge.
m.terrace.north.mid,terrace,north_cut_edge_offset_near_mid,2312,in,58.724799999999995,m,,src.petrie1883,"ch. VIII §70, p.99",MEASURED,metadata,Cut shelf top edge.
m.axis.offset,passage_system,axis_offset_east_of_north_face_midpoint,490.3,in,12.453619999999999,m,,src.petrie1883,"ch. IX §73, p.104",MEASURED,direct,Fixed from station mark near lost upper doorway.
m.axis.azimuth,passage_system,passage_azimuth,−5′37″,arcmin_arcsec,-0.0936111111111111,deg,0.002777777777777778,src.petrie1883,ch. IX §73 / ch. XIII §93,MEASURED,metadata,Smyth observation reported by Petrie. Stored as metadata; rev.0003 route centerline uses Table II N-S distances and a common x-axis anchor rather than forcing an ambiguous historic sign convention.
m.upper.section.height,upper_entrance,clear_height_mean,47.29,in,1.201166,m,0.000762,src.petrie1883,"ch. IX §73, p.104",MEASURED,direct,"Mean from mouth, halfway, near end."
m.upper.section.width,upper_entrance,clear_width_mean,41.29,in,1.0487659999999999,m,0.00127,src.petrie1883,"ch. IX §73, p.104",MEASURED,direct,"Mean from mouth, halfway, near end."
m.horizontal.section.height,upper_horizontal,clear_height_mean,71.06,in,1.804924,m,0.003302,src.petrie1883,"ch. IX §74, p.105",MEASURED,direct,Mean after roof rise.
m.horizontal.section.width,upper_horizontal,clear_width_mean,41.59,in,1.056386,m,0.001016,src.petrie1883,"ch. IX §74, p.105",MEASURED,direct,Mean of Petrie table.
m.upper.roll.length.e,upper_roll,roof_roll_transition_length_east,11.7,in,0.29717999999999994,m,,src.petrie1883,"ch. IX §74, p.104",MEASURED,direct,End of sloping roof to far side of half-round roll.
m.upper.roll.length.w,upper_roll,roof_roll_transition_length_west,11.6,in,0.29463999999999996,m,,src.petrie1883,"ch. IX §74, p.104",MEASURED,direct,End of sloping roof to far side of half-round roll.
m.upper.portcullis.passage_width,upper_portcullis,passage_width_at_portcullis,41.38,in,1.051052,m,,src.petrie1883,"ch. IX §74, p.105",MEASURED,direct,
m.upper.portcullis.groove_e_depth,upper_portcullis,east_groove_depth,9.68,in,0.24587199999999998,m,,src.petrie1883,"ch. IX §74, p.105",MEASURED,direct,
m.upper.portcullis.groove_w_depth,upper_portcullis,west_groove_depth,10.05,in,0.25527,m,,src.petrie1883,"ch. IX §74, p.105",MEASURED,direct,
m.upper.portcullis.housing_width,upper_portcullis,total_groove_housing_width,61.11,in,1.5521939999999999,m,,src.petrie1883,"ch. IX §74, p.105",DERIVED_SUM,direct,Passage + both groove depths.
m.upper.portcullis.groove_e_along,upper_portcullis,east_groove_width_along_passage,15.77,in,0.40055799999999997,m,,src.petrie1883,"ch. IX §74, p.105",MEASURED,direct,Slab is described as about 0.5 in thinner.
m.upper.portcullis.groove_w_along,upper_portcullis,west_groove_width_along_passage,15.19,in,0.38582599999999995,m,,src.petrie1883,"ch. IX §74, p.105",MEASURED,direct,
m.legon.segment.AB.length,lower_entrance,centerline_length,34.94,m,34.94,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.AB.angle,lower_entrance,slope_angle,21.666666666666668,deg,21.666666666666668,deg,,src.legon1989,Table I p.30,MEASURED,direct,"Clinometer over sloping passage, except full entrance length endpoints reconstructed."
m.legon.segment.AB.vertical,lower_entrance,vertical_component,12.9,m,12.9,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed from measured length/angle.
m.legon.segment.AB.horizontal,lower_entrance,horizontal_component,32.47,m,32.47,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
m.legon.segment.BC.length,lower_horizontal_1,centerline_length,7.88,m,7.88,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.BC.horizontal,lower_horizontal_1,horizontal_component,7.88,m,7.88,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
m.legon.segment.CE.length,lower_horizontal_2,centerline_length,7.88,m,7.88,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.CE.horizontal,lower_horizontal_2,horizontal_component,7.88,m,7.88,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
m.legon.segment.CD.length,lower_chamber_branch,centerline_length,6.71,m,6.71,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.CD.angle,lower_chamber_branch,slope_angle,21.316666666666666,deg,21.316666666666666,deg,,src.legon1989,Table I p.30,MEASURED,direct,"Clinometer over sloping passage, except full entrance length endpoints reconstructed."
m.legon.segment.CD.vertical,lower_chamber_branch,vertical_component,2.44,m,2.44,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed from measured length/angle.
m.legon.segment.CD.horizontal,lower_chamber_branch,horizontal_component,6.25,m,6.25,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
m.legon.segment.EF.length,connecting_lower,centerline_length,14.65,m,14.65,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.EF.angle,connecting_lower,slope_angle,23.0,deg,23.0,deg,,src.legon1989,Table I p.30,MEASURED,direct,"Clinometer over sloping passage, except full entrance length endpoints reconstructed."
m.legon.segment.EF.vertical,connecting_lower,vertical_component,5.72,m,5.72,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed from measured length/angle.
m.legon.segment.EF.horizontal,connecting_lower,horizontal_component,13.49,m,13.49,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
m.legon.segment.FG.length,connecting_upper,centerline_length,9.69,m,9.69,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.FG.angle,connecting_upper,slope_angle,22.0,deg,22.0,deg,,src.legon1989,Table I p.30,MEASURED,direct,"Clinometer over sloping passage, except full entrance length endpoints reconstructed."
m.legon.segment.FG.vertical,connecting_upper,vertical_component,3.63,m,3.63,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed from measured length/angle.
m.legon.segment.FG.horizontal,connecting_upper,horizontal_component,8.98,m,8.98,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
m.legon.segment.GH.length,upper_horizontal_main,centerline_length,39.37,m,39.37,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.GH.horizontal,upper_horizontal_main,horizontal_component,39.37,m,39.37,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
m.legon.segment.GI.length,upper_to_chamber_axis,centerline_length,41.86,m,41.86,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.GI.horizontal,upper_to_chamber_axis,horizontal_component,41.86,m,41.86,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
m.legon.segment.GJ.length,upper_horizontal_north,centerline_length,16.02,m,16.02,m,,src.legon1989,Table I p.30,MEASURED_OR_RECONSTRUCTED,direct,Legon states own passage measurements supported by M&R; entrance AB/KL include reconstruction to lost casing/pavement.
m.legon.segment.GJ.horizontal,upper_horizontal_north,horizontal_component,16.02,m,16.02,m,,src.legon1989,Table I p.30,DERIVED_FROM_MEASUREMENT,direct,Computed horizontal component.
