depth_m,terminal_side_m,density_contrast_kg_m3,point_mass_microgal
400,60,2600.0,23.426793
400,80,2600.0,55.53017599999999
400,100,2600.0,108.45737499999998
500,60,2600.0,14.993147519999999
500,80,2600.0,35.53931264
500,100,2600.0,69.41272
600,60,2600.0,10.411907999999999
600,80,2600.0,24.68007822222222
600,100,2600.0,48.20327777777777
648,60,2600.0,8.926532921810699
648,80,2600.0,21.15918914799573
648,100,2600.0,41.32654130467916
700,60,2600.0,7.6495650612244885
700,80,2600.0,18.132302367346938
700,100,2600.0,35.414653061224485
800,60,2600.0,5.85669825
800,80,2600.0,13.882543999999998
800,100,2600.0,27.114343749999996
900,60,2600.0,4.627514666666666
900,80,2600.0,10.968923654320987
900,100,2600.0,21.423679012345676
