node,x_east_m,y_north_m,z_up_m,south_from_north_base_m,level_below_base_m,source,status
A,12.453619999999999,116.96122999999999,-0.0,-9.33,0.0,Legon 1989 Table II,COMPUTED_POSITION
B,12.453619999999999,84.49122999999999,-12.9,23.14,12.9,Legon 1989 Table II,COMPUTED_POSITION
C,12.453619999999999,76.61122999999999,-12.9,31.02,12.9,Legon 1989 Table II,COMPUTED_POSITION
D,12.453619999999999,76.61122999999999,-15.34,31.02,15.34,Legon 1989 Table II,COMPUTED_POSITION
E,12.453619999999999,68.73122999999998,-12.9,38.9,12.9,Legon 1989 Table II,COMPUTED_POSITION
F,12.453619999999999,55.24122999999999,-7.18,52.39,7.18,Legon 1989 Table II,COMPUTED_POSITION
G,12.453619999999999,46.26122999999999,-3.55,61.37,3.55,Legon 1989 Table II,COMPUTED_POSITION
H,12.453619999999999,6.891229999999993,-3.55,100.74,3.55,Legon 1989 Table II,COMPUTED_POSITION
I,12.453619999999999,4.401229999999984,-3.55,103.23,3.55,Legon 1989 Table II,COMPUTED_POSITION
J,12.453619999999999,62.28122999999999,-3.55,45.35,3.55,Legon 1989 Table II,COMPUTED_POSITION
K,12.453619999999999,64.86122999999998,-3.55,42.77,3.55,Legon 1989 Table II,COMPUTED_POSITION
L,12.453619999999999,97.94122999999999,12.92,9.69,-12.92,Legon 1989 Table II,COMPUTED_POSITION
