component_id,part_id,model,mode,frequency_hz,truth_note
burial_chamber,part.burial.chamber,CAVITY_BOX,1-0-0,12.122722533,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,2-0-0,24.245445066,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,0-0-1,32.753082464,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,0-1-0,34.517417516,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,1-0-1,34.924558873,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,3-0-0,36.368167599,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,1-1-0,36.584320597,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,2-0-1,40.750533951,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,2-1-0,42.181675149,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,0-1-1,47.583784242,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,4-0-0,48.490890132,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
burial_chamber,part.burial.chamber,CAVITY_BOX,3-0-1,48.942905771,Rectangular wall-volume envelope; gabled roof scattering is not resolved in this analytical screen.
lower_chamber,part.lower.chamber,CAVITY_BOX,1-0-0,16.426281668,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,2-0-0,32.852563336,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,3-0-0,49.278845004,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,0-1-0,54.805319988,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,1-1-0,57.214035239,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,2-1-0,63.897683970,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,4-0-0,65.705126672,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,0-0-1,71.545833333,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,1-0-1,73.407281633,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,3-1-0,73.702290764,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,2-0-1,78.727994926,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
lower_chamber,part.lower.chamber,CAVITY_BOX,5-0-0,82.131408340,Lower chamber plan is survey constrained; current 2.4 m clear-height envelope is less certain and must not be treated as exact.
upper_entrance_existing,part.upper.entrance.existing,DUCT_1D,1,5.068817745,Surviving upper entrance centerline and measured clear section.
upper_entrance_existing,part.upper.entrance.existing,DUCT_1D,2,10.137635490,Surviving upper entrance centerline and measured clear section.
upper_entrance_existing,part.upper.entrance.existing,DUCT_1D,3,15.206453234,Surviving upper entrance centerline and measured clear section.
upper_entrance_existing,part.upper.entrance.existing,DUCT_1D,4,20.275270979,Surviving upper entrance centerline and measured clear section.
upper_entrance_existing,part.upper.entrance.existing,DUCT_1D,5,25.344088724,Surviving upper entrance centerline and measured clear section.
upper_entrance_existing,part.upper.entrance.existing,DUCT_1D,6,30.412906469,Surviving upper entrance centerline and measured clear section.
upper_entrance_existing,part.upper.entrance.existing,DUCT_1D,7,35.481724214,Surviving upper entrance centerline and measured clear section.
upper_entrance_existing,part.upper.entrance.existing,DUCT_1D,8,40.550541958,Surviving upper entrance centerline and measured clear section.
