depth_m,overburden_proxy_mpa,conditional_water_pressure_mpa
0,0,0
54,1.3768536599999999,0.5295591
108,2.7537073199999997,1.0591182
162,4.130560979999999,1.5886773
216,5.5074146399999995,2.1182364
270,6.884268299999999,2.6477955
324,8.261121959999999,3.1773546
378,9.637975619999999,3.7069137
432,11.014829279999999,4.2364728
486,12.391682939999999,4.7660319
540,13.768536599999997,5.295591
594,15.145390259999997,5.825150099999999
648,16.522243919999998,6.3547092
720,18.358048799999995,7.060788
